customer_id,age,gender,city,purchase_count,total_spent
C001,56.0,Male,Yogyakarta,9,570.88
C002,46.0,Female,Jakarta,4,123.94
C003,32.0,Female,Surabaya,1,693.28
C004,25.0,Female,Bandung,4,397.81
C005,38.0,Male,Medan,1,742.08
C006,56.0,Female,Surabaya,5,469.75
C007,36.0,Male,Jakarta,4,425.1
C008,40.0,Male,Medan,8,241.76
C009,28.0,Female,Jakarta,8,346.9
C010,28.0,Female,Jakarta,7,584.46
C011,41.0,Male,Bandung,3,238.42
C012,53.0,Male,Medan,1,101.88
C013,57.0,Female,Medan,1,328.49
C014,41.0,Female,Bandung,11,668.0
C015,20.0,Female,Surabaya,3,856.26
C016,39.0,Male,Jakarta,6,364.52
C017,19.0,Male,Yogyakarta,7,190.23
C018,41.0,Male,Jakarta,6,431.37
C019,47.0,Male,Jakarta,6,536.77
C020,55.0,Male,Surabaya,6,615.58
C021,19.0,Male,Jakarta,3,926.93
C022,38.0,Female,Bandung,6,545.37
C023,50.0,Male,Bandung,8,831.09
C024,29.0,Male,Medan,11,407.41
C025,39.0,Male,Yogyakarta,11,517.31
C026,,Female,Jakarta,2,381.42
C027,44.0,Male,Jakarta,5,364.0
C028,59.0,Male,Surabaya,1,447.32
C029,45.0,Female,Bandung,1,443.87
C030,,Male,Yogyakarta,5,379.2
C031,32.0,Male,Medan,3,390.15
C032,20.0,Male,Bandung,4,719.36
C033,54.0,Male,Medan,3,922.62
C034,,Male,Surabaya,1,400.32
C035,38.0,Female,Surabaya,1,435.12
C036,26.0,Female,Jakarta,5,604.92
C037,56.0,Female,Yogyakarta,6,1137.41
C038,35.0,Male,Medan,3,516.83
C039,21.0,Male,Bandung,9,694.53
C040,42.0,Male,Surabaya,5,808.89
C041,31.0,Female,Jakarta,8,11376.199999999999
C042,26.0,Male,Jakarta,1,685.25
C043,43.0,Male,Medan,5,621.57
C044,19.0,Female,Surabaya,3,706.5
C045,37.0,Male,Yogyakarta,1,293.12
C046,45.0,Female,Surabaya,4,540.86
C047,24.0,Female,Medan,5,596.24
C048,25.0,Female,Medan,7,593.41
C049,52.0,Male,Surabaya,1,727.4
C050,31.0,Male,Medan,3,589.38
C051,,Male,Surabaya,2,271.01
C052,53.0,Male,Bandung,9,618.26
C053,57.0,Male,Surabaya,10,323.38
C054,21.0,Male,Surabaya,6,360.12
C055,19.0,Male,Medan,10,416.3
C056,23.0,Female,Medan,3,477.72
C057,59.0,Male,Jakarta,8,191.25
C058,21.0,Female,Jakarta,8,723.38
C059,46.0,Male,Bandung,2,268.9
C060,35.0,Male,Jakarta,6,814.02
C061,43.0,Male,Surabaya,7,275.01
C062,51.0,Female,Medan,2,756.38
C063,27.0,Female,Jakarta,11,494.32
C064,53.0,Female,Jakarta,10,156.72
C065,31.0,Female,Bandung,2,291.41
C066,48.0,Male,Bandung,10,765.29
C067,32.0,Female,Surabaya,1,589.73
C068,25.0,Male,Medan,8,484.25
C069,31.0,Male,Bandung,1,56.65
C070,40.0,Female,Jakarta,9,777.91
C071,57.0,Female,Medan,11,874.08
C072,38.0,Female,Medan,6,837.6
C073,33.0,Female,Jakarta,7,376.95
C074,35.0,Female,Bandung,10,576.56
C075,41.0,Female,Jakarta,7,598.43
C076,43.0,Female,Medan,10,194.51
C077,42.0,Female,Yogyakarta,3,536.1
C078,58.0,Male,Yogyakarta,2,714.21
C079,46.0,Female,Surabaya,9,652.9
C080,32.0,Female,Jakarta,8,277.77
C081,18.0,Male,Jakarta,10,327.48
C082,42.0,Female,Surabaya,7,658.12
C083,24.0,Male,Surabaya,9,626.57
C084,26.0,Male,Surabaya,4,49.17
C085,41.0,Female,Medan,4,8.68
C086,18.0,Male,Jakarta,1,484.69
C087,25.0,Male,Medan,8,382.07
C088,41.0,Male,Surabaya,3,8806.8
C089,28.0,Male,Jakarta,7,417.74
C090,34.0,Female,Medan,2,696.8
C091,25.0,Male,Medan,2,10414.2
C092,52.0,Female,Surabaya,7,553.53
C093,,Male,Jakarta,6,231.54
C094,50.0,Male,Surabaya,3,-172.82
C095,22.0,Male,Jakarta,9,724.71
C096,59.0,Male,Yogyakarta,10,928.64
C097,56.0,Female,Bandung,6,431.48
C098,58.0,Female,Bandung,10,549.86
C099,45.0,Male,Bandung,10,564.9
C100,24.0,Male,Surabaya,6,835.06
